chembl_id,organism,pref_name,ligand_ID,pchembl_value,canonical_smiles,year,standard_smiles
CHEMBL1937,Homo sapiens,Histone deacetylase 2,CHEMBL2364628,7.32,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c2ccccc2)c3ccccc3,2013.0,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO
CHEMBL1945,Homo sapiens,Melatonin receptor 1A,CHEMBL138321,9.0,CC(=O)NCCc1coc2ccc3OCCCc3c12,1998.0,CC(=O)NCCc1coc2ccc3c(c12)CCCO3
CHEMBL1946,Homo sapiens,Melatonin receptor 1B,CHEMBL100104,8.78,CCC(=O)NCCc1cc2c(OC)cccc2n1c3ccccc3,2001.0,CCC(=O)NCCc1cc2c(OC)cccc2n1-c1ccccc1
CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,CHEMBL456549,6.3,C[C@@H](Nc1ncc(Br)c(Nc2cc([nH]n2)C3CC3)n1)c4ccccc4,2008.0,C[C@@H](Nc1ncc(Br)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccccc1
CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,CHEMBL3904449,7.72,CC(C)(C)C1=CC(=NC(=O)Nc2ccc(cc2)c3cn4c5cnc(nc5sc4n3)N6CCOCC6)NO1,2015.0,CC(C)(C)c1cc(=NC(=O)Nc2ccc(-c3cn4c(n3)sc3nc(N5CCOCC5)ncc34)cc2)[nH]o1
CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,CHEMBL3753109,8.01,C[C@]12CC[C@H]3[C@@H](C=CC4=C(Sc5ccccc5)C(=O)CC[C@]34C)[C@@H]1CCC2=O,2015.0,C[C@]12CC[C@H]3[C@@H](C=CC4=C(Sc5ccccc5)C(=O)CC[C@@]43C)[C@@H]1CCC2=O
CHEMBL1983,Homo sapiens,Serotonin 1d (5-HT1d) receptor,CHEMBL2368255,6.3,CC1(C)NC(=O)N(CCc2ccc3[nH]cc([C@@H]4C[C@@H](N)C4)c3c2)C1=O,2001.0,CC1(C)NC(=O)N(CCc2ccc3[nH]cc([C@H]4C[C@H](N)C4)c3c2)C1=O
CHEMBL1985,Homo sapiens,Glucagon receptor,CHEMBL3238224,7.82,COc1cccc(c1)C2=N[C@@]3(CC[C@@H](CC3)C(C)(C)C)N([C@H](CCC(C)(C)C)c4ccc(cc4)C(=O)NCc5nn[nH]n5)C2=O,2014.0,COc1cccc(C2=N[C@]3(CC[C@@H](C(C)(C)C)CC3)N([C@H](CCC(C)(C)C)c3ccc(C(=O)NCc4nn[nH]n4)cc3)C2=O)c1
CHEMBL1991,Homo sapiens,Inhibitor of nuclear factor kappa B kinase beta subunit,CHEMBL2208034,6.43,O=C(Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2)[C@H]5CCCN5,2012.0,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCCN1
CHEMBL1994,Homo sapiens,Mineralocorticoid receptor,CHEMBL3643664,6.52,NC(=O)Nc1cc(ccn1)c2ccnn2c3ccccc3F,2014.0,NC(=O)Nc1cc(-c2ccnn2-c2ccccc2F)ccn1
CHEMBL2000,Homo sapiens,Plasma kallikrein,CHEMBL3951729,7.55,CCOc1ccc(C[C@@H](N=C(O)c2ccccc2)C(=N[C@@H](Cc3c[nH]c4ccccc34)C(=NCc5ccc(CN)cc5)O)O)cc1,2016.0,CCOc1ccc(C[C@@H](N=C(O)c2ccccc2)C(O)=N[C@@H](Cc2c[nH]c3ccccc23)C(O)=NCc2ccc(CN)cc2)cc1
CHEMBL2001,Homo sapiens,Purinergic receptor P2Y12,CHEMBL431799,8.3,CN(C1CCCCCC1)C(=O)CCCCOc2ccc3[nH]c4nc(O)nc4cc3c2,1992.0,CN(C(=O)CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCCCCC1
CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,CHEMBL3928350,6.15,C[C@@H](O)[C@H]1COC(=O)N1c2nc(N[C@@H](C)c3cc(F)cc(F)c3)ncc2F,2016.0,C[C@H](Nc1ncc(F)c(N2C(=O)OC[C@@H]2[C@@H](C)O)n1)c1cc(F)cc(F)c1
CHEMBL2010631,Homo sapiens,C-X-C chemokine receptor type 7,CHEMBL3923212,7.54,OC(=NC1CCCCC1)C2CCN(Cc3cccc(c3)N=C(O)C4CCCC4)CC2,2016.0,OC(=Nc1cccc(CN2CCC(C(O)=NC3CCCCC3)CC2)c1)C1CCCC1
CHEMBL2014,Homo sapiens,Nociceptin receptor,CHEMBL52604,7.71,CCN1C(=O)N([C@@H]2CCN3[C@H](CCC[C@H]3c4ccccc4)C2)c5ccccc15,2004.0,CCn1c(=O)n([C@@H]2CCN3[C@H](c4ccccc4)CCC[C@@H]3C2)c2ccccc21
CHEMBL202,Homo sapiens,Dihydrofolate reductase,CHEMBL81119,6.92,Cc1c(CNc2ccccc2Cl)cnc3nc(N)nc(N)c13,2002.0,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12
CHEMBL203,Homo sapiens,Epidermal growth factor receptor erbB1,CHEMBL1630115,7.54,Nc1ccccc1NC(=O)\C=C\c2ccc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3,2010.0,Nc1ccccc1NC(=O)/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1
CHEMBL2034,Homo sapiens,Glucocorticoid receptor,CHEMBL3126937,6.89,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3nc(ncc3[nH]2)N4CCCC4)C(F)(F)F,2014.0,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2nc(N3CCCC3)ncc2[nH]1)C(F)(F)F
CHEMBL2039,Homo sapiens,Monoamine oxidase B,CHEMBL497676,7.52,C[C@@H]1CCCC/C/1=N/Nc2nc(cs2)c3ccc(F)cc3F,2008.0,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL204,Homo sapiens,Thrombin,CHEMBL382843,8.67,NC(=N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O)c1Cl,2006.0,N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1Cl
CHEMBL205,Homo sapiens,Carbonic anhydrase II,CHEMBL2074640,6.15,CCOC(=O)\C=C\c1ccc(O)cc1,2013.0,CCOC(=O)/C=C/c1ccc(O)cc1
CHEMBL2056,Homo sapiens,Dopamine D1 receptor,CHEMBL3779928,7.91,CCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC,2016.0,CCOc1ccc2c(c1OC)CN1CCc3cc(OC)c(O)cc3C1C2
CHEMBL206,Homo sapiens,Estrogen receptor alpha,CHEMBL181248,9.15,C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)c(F)c3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CCC[C@H]5C,2005.0,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCC[C@H]3C)cc2)[C@H]1c1ccc(O)cc1
CHEMBL2069,Homo sapiens,Thromboxane A2 receptor,CHEMBL509685,8.15,CC(C)c1ccnc2c1c(Sc3ccc(Cl)cc3)c4C(CC(=O)O)CCCn24,2009.0,CC(C)c1ccnc2c1c(Sc1ccc(Cl)cc1)c1n2CCCC1CC(=O)O
CHEMBL208,Homo sapiens,Progesterone receptor,CHEMBL391361,7.52,CN1C(=S)OC(C)(C)c2cc(Nc3ccc(Br)cc3)ccc12,2007.0,CN1C(=S)OC(C)(C)c2cc(Nc3ccc(Br)cc3)ccc21
CHEMBL209,Homo sapiens,Trypsin I,CHEMBL3667907,8.42,CCC[C@H](NC(=O)C(CC)(CC)Cc1ccc(s1)C(=O)Oc2ccc(cc2F)C(=N)N)C(=O)O,2015.0,CCC[C@H](NC(=O)C(CC)(CC)Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)O
CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,CHEMBL1221588,7.7,Cc1onc(c1CNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)c4ccccc4,2010.0,Cc1onc(-c2ccccc2)c1CNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12
CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,CHEMBL222450,7.05,C[N+]1(CC(=O)c2ccsc2)CC[C@H](C1)N3CC(NC3=O)(c4ccc(F)cc4)c5ccc(F)cc5,2007.0,C[N+]1(CC(=O)c2ccsc2)CC[C@@H](N2CC(c3ccc(F)cc3)(c3ccc(F)cc3)NC2=O)C1
CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,CHEMBL1221736,6.91,O[C@@H](CNC1CCCC1C2CCCCC2)c3ccc(O)c4NC(=O)Sc34,2010.0,O=c1[nH]c2c(O)ccc([C@@H](O)CNC3CCCC3C3CCCCC3)c2s1
CHEMBL214,Homo sapiens,Serotonin 1a (5-HT1a) receptor,CHEMBL132979,6.96,Oc1ccccc1N2CCN(CCC(=O)c3csc4ccccc34)CC2,2008.0,O=C(CCN1CCN(c2ccccc2O)CC1)c1csc2ccccc12
CHEMBL2147,Homo sapiens,Serine/threonine-protein kinase PIM1,CHEMBL3932475,6.67,Cc1cncc(n1)c2cc3c(cn2)cnn3c4ccc(C5CC5)c(n4)N6CCC[C@H](N)C6,2016.0,Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C3CC3)c(N3CCC[C@H](N)C3)n2)n1
CHEMBL2148,Homo sapiens,Tyrosine-protein kinase JAK3,CHEMBL3945676,6.35,Cc1ccc(CN2CCC(CC2)c3nnn4cnc5[nH]ccc5c34)s1,2015.0,Cc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1
CHEMBL215,Homo sapiens,Arachidonate 5-lipoxygenase,CHEMBL293743,7.0,CC(C#Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(=O)N,1997.0,CC(C#Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O
CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1,CHEMBL3354075,6.55,OCCCCCCCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1,2014.0,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCO)CC1
CHEMBL217,Homo sapiens,Dopamine D2 receptor,CHEMBL726,8.84,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,2009.0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CHEMBL2176771,Homo sapiens,Complement factor D,CHEMBL3668757,6.49,COc1cccc(NC(=O)[C@@H]2CC3CC3N2C(=O)Nc4cn(C(=O)N)c5ccccc45)c1,2015.0,COc1cccc(NC(=O)[C@@H]2CC3CC3N2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1
CHEMBL218,Homo sapiens,Cannabinoid CB1 receptor,CHEMBL1223646,7.28,CCCCCC1=NN(CC1c2ccccc2)C(=O)NC3CCCCC3,2010.0,CCCCCC1=NN(C(=O)NC2CCCCC2)CC1c1ccccc1
CHEMBL2185,Homo sapiens,Serine/threonine-protein kinase Aurora-B,CHEMBL1822488,6.08,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn5cc(NC(=O)CN6CCCC6)cc25)n[nH]1,2011.0,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)CN4CCCC4)cc23)n[nH]1
CHEMBL219,Homo sapiens,Dopamine D4 receptor,CHEMBL293225,6.41,COc1ccc(Br)cc1c2occ(CNC3CCN(Cc4ccccc4)CC3)n2,2000.0,COc1ccc(Br)cc1-c1nc(CNC2CCN(Cc3ccccc3)CC2)co1
CHEMBL220,Homo sapiens,Acetylcholinesterase,CHEMBL158232,8.28,CC1CCN(Cc2ccccc2)CC1,1992.0,CC1CCN(Cc2ccccc2)CC1
CHEMBL222,Homo sapiens,Norepinephrine transporter,CHEMBL1078074,7.58,CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(F)c2C(F)(F)F,2009.0,CC(C)CN(C(=O)c1cccc(F)c1C(F)(F)F)[C@H]1CCNC1
CHEMBL223,Homo sapiens,Alpha-1d adrenergic receptor,CHEMBL516,6.97,CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1,,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,CHEMBL358839,6.2,O=S(=O)(C1CCN(Cc2ccccc2)CC1)c3ccccc3,2002.0,O=S(=O)(c1ccccc1)C1CCN(Cc2ccccc2)CC1
CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,CHEMBL157736,6.41,CCCCCCCC\C=C/CCCCCCCC(=O)CBr,1998.0,CCCCCCCC/C=C\CCCCCCCC(=O)CBr
CHEMBL225,Homo sapiens,Serotonin 2c (5-HT2c) receptor,CHEMBL172159,7.33,NCCc1cn2CCSc3cc(Cl)cc1c23,2000.0,NCCc1cn2c3c(cc(Cl)cc13)SCC2
CHEMBL2252,Homo sapiens,Dipeptidyl peptidase I,CHEMBL3662569,8.09,CS(=O)(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2,2015.0,CS(=O)(=O)c1ccc(-c2ccc(CC(C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)c(F)c2)cc1
CHEMBL226,Homo sapiens,Adenosine A1 receptor,CHEMBL1487093,8.14,Nc1nc(nc(n1)c2ccccc2O)c3ccccc3,2012.0,Nc1nc(-c2ccccc2)nc(-c2ccccc2O)n1
CHEMBL2276,Homo sapiens,c-Jun N-terminal kinase 1,CHEMBL491758,6.9,Fc1cnc(Nc2ccccc2)nc1Nc3ccccc3,,Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1
CHEMBL228,Homo sapiens,Serotonin transporter,CHEMBL1087743,7.7,CS(=O)(=O)Nc1cc(OCCN2CCC(Cc3ccc4CCC(=O)Nc4c3)CC2)ccc1F,2010.0,CS(=O)(=O)Nc1cc(OCCN2CCC(Cc3ccc4c(c3)NC(=O)CC4)CC2)ccc1F
CHEMBL229,Homo sapiens,Alpha-1a adrenergic receptor,CHEMBL1242950,7.75,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,2010.0,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1
CHEMBL230,Homo sapiens,Cyclooxygenase-2,CHEMBL2337404,7.82,Cc1c(CCOCCCO[N+](=O)[O-])cc(c2ccc(cc2)S(=O)(=O)C)n1c3ccccc3,2015.0,Cc1c(CCOCCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1
CHEMBL231,Homo sapiens,Histamine H1 receptor,CHEMBL314107,7.77,CN(C)CC1CC2N(O1)c3cc(F)ccc3Cc4ccc(F)cc24,2002.0,CN(C)CC1CC2c3cc(F)ccc3Cc3ccc(F)cc3N2O1
CHEMBL232,Homo sapiens,Alpha-1b adrenergic receptor,CHEMBL1242633,7.74,COc1ccccc1N2CCN(C[C@@H]3CO[C@](CN4CCCCCC4=O)(O3)c5ccccc5)CC2,2010.0,COc1ccccc1N1CCN(C[C@@H]2CO[C@@](CN3CCCCCC3=O)(c3ccccc3)O2)CC1
CHEMBL233,Homo sapiens,Mu opioid receptor,CHEMBL91683,7.65,CC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1,2003.0,CC(=N)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5
CHEMBL2334,Homo sapiens,Caspase-3,CHEMBL456592,7.78,Fc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N4CCC[C@H]4COc5cc(F)cc(F)c5)cc1,2008.0,O=C1C(=O)N(Cc2ccc(F)cc2)c2ccc(S(=O)(=O)N3CCC[C@H]3COc3cc(F)cc(F)c3)cc21
CHEMBL2337,Homo sapiens,Glycine transporter 1,CHEMBL373809,6.42,OC(=O)[C@@H]1CCCN1CCOc2ccccc2Sc3cccc(Cl)c3,2006.0,O=C(O)[C@@H]1CCCN1CCOc1ccccc1Sc1cccc(Cl)c1
CHEMBL234,Homo sapiens,Dopamine D3 receptor,CHEMBL3695393,8.21,O=C(N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1)c5ccnc6ccccc56,2014.0,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1)c1ccnc2ccccc12
CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,CHEMBL3103196,7.47,Cc1cc(cc(C)c1OC(C)(C)C(=O)O)C2CC2C(OCCC3CCCCC3)c4ccc(OC(F)(F)F)cc4,2013.0,Cc1cc(C2CC2C(OCCC2CCCCC2)c2ccc(OC(F)(F)F)cc2)cc(C)c1OC(C)(C)C(=O)O
CHEMBL236,Homo sapiens,Delta opioid receptor,CHEMBL67996,9.22,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3C)c4cccc(O)c4,2004.0,CCN(CC)C(=O)c1ccc(C(=C2CC3CCC(C2)N3C)c2cccc(O)c2)cc1
CHEMBL237,Homo sapiens,Kappa opioid receptor,CHEMBL557937,7.21,CN1CC[C@]23Cc4c(C[C@@]2(C1)Cc5ccc(O)cc35)c6ccccc6n4C,2009.0,CN1CC[C@]23Cc4c(c5ccccc5n4C)C[C@]2(Cc2ccc(O)cc23)C1
CHEMBL238,Homo sapiens,Dopamine transporter,CHEMBL538405,9.14,Fc1ccc(cc1)C(OCCC2CCN(Cc3cc4ccccc4[nH]3)CC2)c5ccc(F)cc5,2002.0,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4[nH]3)CC2)c2ccc(F)cc2)cc1
CHEMBL239,Homo sapiens,Peroxisome proliferator-activated receptor alpha,CHEMBL477095,6.21,Cc1oc(nc1CCCc2ccc(C[C@@H](C(=O)O)n3cccc3)cc2)c4ccccc4,2008.0,Cc1oc(-c2ccccc2)nc1CCCc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1
CHEMBL240,Homo sapiens,HERG,CHEMBL197467,6.4,COc1cc2CCN(C)[C@@H](C[C@H](O)c3ccc(Cl)cc3)c2cc1OC,2005.0,COc1cc2c(cc1OC)[C@H](C[C@H](O)c1ccc(Cl)cc1)N(C)CC2
CHEMBL2409,Homo sapiens,Epoxide hydratase,CHEMBL560537,8.15,O=C(NCCC(c1ccccc1)c2ccccc2)c3cccnc3,2009.0,O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1
